source,relation,target,confidence,source_type,evidence,reviewed_on
course.math_foundations,PART_OF,program.aied,1.0,curriculum_map,Synthetic program structure,2026-09-24
course.data_foundations,PART_OF,program.aied,1.0,curriculum_map,Synthetic program structure,2026-09-24
course.ml_foundations,PART_OF,program.aied,1.0,curriculum_map,Synthetic program structure,2026-09-24
course.aied_systems,PART_OF,program.aied,1.0,curriculum_map,Synthetic program structure,2026-09-24
course.responsible_ai,PART_OF,program.aied,1.0,curriculum_map,Synthetic program structure,2026-09-24
course.capstone,PART_OF,program.aied,1.0,curriculum_map,Synthetic program structure,2026-09-24
module.sequence_models,PART_OF,course.aied_systems,1.0,curriculum_map,Synthetic module structure,2026-09-24
module.evaluation,PART_OF,course.aied_systems,1.0,curriculum_map,Synthetic module structure,2026-09-24
assessment.math_exam,PART_OF,course.math_foundations,1.0,curriculum_map,Synthetic assessment placement,2026-09-24
assessment.data_lab,PART_OF,course.data_foundations,1.0,curriculum_map,Synthetic assessment placement,2026-09-24
assessment.ml_project,PART_OF,course.ml_foundations,1.0,curriculum_map,Synthetic assessment placement,2026-09-24
assessment.aied_project,PART_OF,course.aied_systems,1.0,curriculum_map,Synthetic assessment placement,2026-09-24
assessment.ethics_review,PART_OF,course.responsible_ai,1.0,curriculum_map,Synthetic assessment placement,2026-09-24
assessment.capstone,PART_OF,course.capstone,1.0,curriculum_map,Synthetic assessment placement,2026-09-24
resource.math_notebook,PART_OF,course.math_foundations,1.0,curriculum_map,Synthetic resource placement,2026-09-24
resource.stats_lab,PART_OF,course.math_foundations,1.0,curriculum_map,Synthetic resource placement,2026-09-24
resource.python_lab,PART_OF,course.data_foundations,1.0,curriculum_map,Synthetic resource placement,2026-09-24
resource.ml_notebook,PART_OF,course.ml_foundations,1.0,curriculum_map,Synthetic resource placement,2026-09-24
resource.kt_simulator,PART_OF,course.aied_systems,1.0,curriculum_map,Synthetic resource placement,2026-09-24
resource.recommender_case,PART_OF,course.aied_systems,1.0,curriculum_map,Synthetic resource placement,2026-09-24
resource.explainability_guide,PART_OF,course.responsible_ai,1.0,curriculum_map,Synthetic resource placement,2026-09-24
resource.ethics_case,PART_OF,course.responsible_ai,1.0,curriculum_map,Synthetic resource placement,2026-09-24
course.math_foundations,TEACHES,concept.algebra,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.math_foundations,TEACHES,concept.probability,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.math_foundations,TEACHES,concept.statistics,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.math_foundations,TEACHES,concept.calculus,0.90,expert_review,Synthetic subject-matter review,2026-09-24
course.data_foundations,TEACHES,concept.python,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.data_foundations,TEACHES,concept.data_wrangling,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.data_foundations,TEACHES,concept.statistics,0.80,expert_review,Synthetic cross-course coverage,2026-09-24
course.ml_foundations,TEACHES,concept.linear_models,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.ml_foundations,TEACHES,concept.optimization,0.90,expert_review,Synthetic subject-matter review,2026-09-24
course.ml_foundations,TEACHES,concept.machine_learning,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.ml_foundations,TEACHES,concept.neural_networks,0.85,expert_review,Synthetic subject-matter review,2026-09-24
course.aied_systems,TEACHES,concept.learning_analytics,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.aied_systems,TEACHES,concept.knowledge_tracing,0.90,expert_review,Synthetic subject-matter review,2026-09-24
course.aied_systems,TEACHES,concept.recommender_systems,0.90,expert_review,Synthetic subject-matter review,2026-09-24
module.sequence_models,TEACHES,concept.knowledge_tracing,0.95,expert_review,Synthetic module mapping,2026-09-24
module.evaluation,TEACHES,concept.experimental_design,0.95,expert_review,Synthetic module mapping,2026-09-24
course.responsible_ai,TEACHES,concept.explainability,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.responsible_ai,TEACHES,concept.algorithmic_bias,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.responsible_ai,TEACHES,concept.responsible_ai,0.95,expert_review,Synthetic subject-matter review,2026-09-24
course.capstone,TEACHES,concept.experimental_design,0.85,expert_review,Synthetic capstone coverage,2026-09-24
course.math_foundations,HAS_OUTCOME,outcome.math_reasoning,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.math_foundations,HAS_OUTCOME,outcome.statistical_reasoning,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.data_foundations,HAS_OUTCOME,outcome.data_pipeline,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.ml_foundations,HAS_OUTCOME,outcome.fit_models,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.ml_foundations,HAS_OUTCOME,outcome.optimize_models,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.aied_systems,HAS_OUTCOME,outcome.analyze_learning,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.aied_systems,HAS_OUTCOME,outcome.trace_knowledge,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.aied_systems,HAS_OUTCOME,outcome.recommend_resources,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.responsible_ai,HAS_OUTCOME,outcome.explain_models,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.responsible_ai,HAS_OUTCOME,outcome.audit_bias,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.capstone,HAS_OUTCOME,outcome.design_experiments,1.0,curriculum_map,Synthetic course outcome,2026-09-24
course.capstone,HAS_OUTCOME,outcome.communicate_evidence,1.0,curriculum_map,Synthetic course outcome,2026-09-24
assessment.math_exam,ASSESSES,outcome.math_reasoning,0.95,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.math_exam,ASSESSES,outcome.statistical_reasoning,0.95,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.data_lab,ASSESSES,outcome.data_pipeline,0.95,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.ml_project,ASSESSES,outcome.fit_models,0.95,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.ml_project,ASSESSES,outcome.optimize_models,0.90,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.aied_project,ASSESSES,outcome.analyze_learning,0.95,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.aied_project,ASSESSES,outcome.trace_knowledge,0.90,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.aied_project,ASSESSES,outcome.recommend_resources,0.90,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.ethics_review,ASSESSES,outcome.explain_models,0.90,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.ethics_review,ASSESSES,outcome.audit_bias,0.95,assessment_map,Synthetic assessment alignment,2026-09-24
assessment.capstone,ASSESSES,outcome.design_experiments,0.90,assessment_map,Synthetic integrative assessment,2026-09-24
assessment.capstone,ASSESSES,outcome.fit_models,0.80,assessment_map,Synthetic integrative assessment,2026-09-24
assessment.capstone,ASSESSES,outcome.analyze_learning,0.80,assessment_map,Synthetic integrative assessment,2026-09-24
assessment.capstone,ASSESSES,outcome.explain_models,0.80,assessment_map,Synthetic integrative assessment,2026-09-24
outcome.math_reasoning,ALIGNS_WITH,competency.quantitative_reasoning,0.95,competency_map,Synthetic competency alignment,2026-09-24
outcome.statistical_reasoning,ALIGNS_WITH,competency.quantitative_reasoning,0.95,competency_map,Synthetic competency alignment,2026-09-24
outcome.data_pipeline,ALIGNS_WITH,competency.ai_engineering,0.90,competency_map,Synthetic competency alignment,2026-09-24
outcome.fit_models,ALIGNS_WITH,competency.ai_engineering,0.95,competency_map,Synthetic competency alignment,2026-09-24
outcome.optimize_models,ALIGNS_WITH,competency.ai_engineering,0.90,competency_map,Synthetic competency alignment,2026-09-24
outcome.analyze_learning,ALIGNS_WITH,competency.learning_analytics,0.95,competency_map,Synthetic competency alignment,2026-09-24
outcome.trace_knowledge,ALIGNS_WITH,competency.learning_analytics,0.95,competency_map,Synthetic competency alignment,2026-09-24
outcome.recommend_resources,ALIGNS_WITH,competency.learning_analytics,0.90,competency_map,Synthetic competency alignment,2026-09-24
outcome.design_experiments,ALIGNS_WITH,competency.quantitative_reasoning,0.85,competency_map,Synthetic competency alignment,2026-09-24
outcome.explain_models,ALIGNS_WITH,competency.responsible_ai,0.95,competency_map,Synthetic competency alignment,2026-09-24
outcome.audit_bias,ALIGNS_WITH,competency.responsible_ai,0.95,competency_map,Synthetic competency alignment,2026-09-24
outcome.communicate_evidence,ALIGNS_WITH,competency.learning_analytics,0.75,competency_map,Synthetic competency alignment,2026-09-24
concept.algebra,PREREQUISITE_OF,concept.linear_models,0.90,expert_review,Synthetic prerequisite review,2026-09-24
concept.probability,PREREQUISITE_OF,concept.statistics,0.95,expert_review,Synthetic prerequisite review,2026-09-24
concept.statistics,PREREQUISITE_OF,concept.linear_models,0.95,expert_review,Synthetic prerequisite review,2026-09-24
concept.statistics,PREREQUISITE_OF,concept.experimental_design,0.90,expert_review,Synthetic prerequisite review,2026-09-24
concept.statistics,PREREQUISITE_OF,concept.learning_analytics,0.85,expert_review,Synthetic alternative path,2026-09-24
concept.calculus,PREREQUISITE_OF,concept.optimization,0.95,expert_review,Synthetic prerequisite review,2026-09-24
concept.python,PREREQUISITE_OF,concept.data_wrangling,0.95,expert_review,Synthetic prerequisite review,2026-09-24
concept.data_wrangling,PREREQUISITE_OF,concept.machine_learning,0.90,expert_review,Synthetic prerequisite review,2026-09-24
concept.linear_models,PREREQUISITE_OF,concept.machine_learning,0.95,expert_review,Synthetic prerequisite review,2026-09-24
concept.optimization,PREREQUISITE_OF,concept.machine_learning,0.90,expert_review,Synthetic prerequisite review,2026-09-24
concept.machine_learning,PREREQUISITE_OF,concept.neural_networks,0.90,expert_review,Synthetic prerequisite review,2026-09-24
concept.machine_learning,PREREQUISITE_OF,concept.learning_analytics,0.85,expert_review,Synthetic prerequisite review,2026-09-24
concept.machine_learning,PREREQUISITE_OF,concept.recommender_systems,0.80,expert_review,Synthetic alternative path,2026-09-24
concept.machine_learning,PREREQUISITE_OF,concept.explainability,0.80,expert_review,Synthetic prerequisite review,2026-09-24
concept.learning_analytics,PREREQUISITE_OF,concept.knowledge_tracing,0.90,expert_review,Synthetic prerequisite review,2026-09-24
concept.learning_analytics,PREREQUISITE_OF,concept.recommender_systems,0.90,expert_review,Synthetic prerequisite review,2026-09-24
concept.knowledge_tracing,PREREQUISITE_OF,concept.recommender_systems,0.80,expert_review,Synthetic alternative path,2026-09-24
concept.explainability,PREREQUISITE_OF,concept.algorithmic_bias,0.70,expert_review,Deliberate synthetic cycle edge,2026-09-24
concept.algorithmic_bias,PREREQUISITE_OF,concept.responsible_ai,0.75,expert_review,Deliberate synthetic cycle edge,2026-09-24
concept.responsible_ai,PREREQUISITE_OF,concept.explainability,0.70,expert_review,Deliberate synthetic cycle edge,2026-09-24
resource.math_notebook,SUPPORTS,concept.algebra,0.90,resource_map,Synthetic resource alignment,2026-09-24
resource.math_notebook,SUPPORTS,concept.calculus,0.80,resource_map,Synthetic resource alignment,2026-09-24
resource.stats_lab,SUPPORTS,concept.statistics,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.stats_lab,SUPPORTS,concept.experimental_design,0.80,resource_map,Synthetic resource alignment,2026-09-24
resource.python_lab,SUPPORTS,concept.python,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.python_lab,SUPPORTS,concept.data_wrangling,0.90,resource_map,Synthetic resource alignment,2026-09-24
resource.ml_notebook,SUPPORTS,concept.machine_learning,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.ml_notebook,SUPPORTS,concept.optimization,0.85,resource_map,Synthetic resource alignment,2026-09-24
resource.kt_simulator,SUPPORTS,concept.knowledge_tracing,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.recommender_case,SUPPORTS,concept.recommender_systems,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.explainability_guide,SUPPORTS,concept.explainability,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.explainability_guide,SUPPORTS,outcome.explain_models,0.85,resource_map,Synthetic resource alignment,2026-09-24
resource.ethics_case,SUPPORTS,concept.algorithmic_bias,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.ethics_case,SUPPORTS,concept.responsible_ai,0.95,resource_map,Synthetic resource alignment,2026-09-24
resource.ethics_case,SUPPORTS,outcome.audit_bias,0.85,resource_map,Synthetic resource alignment,2026-09-24
